Depth,qc,fs,Inclination,dummy,fs/qc
1.16,18.753,0.142,0.75,0.8,0.00757212179384632
1.17,18.805,0.144,0.76,0.8,0.00765753788885935
1.18,18.857,0.146,0.77,0.8,0.00774248289759771
1.19,18.995,0.148,0.78,0.8,0.0077915240852856
1.2,19.013,0.15,0.79,0.8,0.00788933887340241
1.21,19.024,0.152,0.8,0.8,0.00798990748528175
1.22,19.052,0.154,0.8,0.8,0.00808314087759815
1.23,19.066,0.155,0.81,0.8,0.00812965488303787
1.24,19.127,0.156,0.81,0.8,0.00815600982903749
1.25,19.226,0.158,0.81,0.8,0.00821803807344221
1.26,19.297,0.159,0.81,0.8,0.0082396227392859
1.27,19.489,0.16,0.81,0.8,0.00820975935142901
1.28,19.563,0.161,0.81,0.8,0.00822982160200378
1.29,19.78,0.162,0.81,0.8,0.00819009100101112
1.3,19.876,0.163,0.82,0.8,0.00820084524049104
1.31,20.05,0.165,0.82,0.8,0.00822942643391521
1.32,20.22,0.166,0.82,0.8,0.00820969337289812
1.33,20.291,0.168,0.82,0.8,0.00827953279779212
1.34,20.43,0.169,0.83,0.8,0.00827214880078316
1.35,20.493,0.171,0.83,0.8,0.00834431269213878
1.36,20.625,0.173,0.83,0.8,0.00838787878787879
1.37,20.685,0.174,0.83,0.8,0.00841189267585207
1.38,20.838,0.176,0.84,0.8,0.00844610807179192
1.39,20.948,0.177,0.84,0.8,0.00844949398510598
1.4,21.171,0.179,0.84,0.8,0.00845496197628832
1.41,21.324,0.18,0.84,0.8,0.0084411930219471
1.42,21.537,0.181,0.84,0.8,0.00840414170961601
1.43,21.594,0.183,0.84,0.8,0.00847457627118644
1.44,21.786,0.185,0.84,0.8,0.00849169191223722
1.45,21.881,0.186,0.84,0.8,0.00850052557012934
1.46,22.094,0.188,0.84,0.8,0.00850909749253191
1.47,22.371,0.19,0.84,0.8,0.00849313843815654
1.48,22.535,0.192,0.85,0.8,0.00852007987574883
1.49,22.794,0.194,0.85,0.8,0.00851101166973765
1.5,22.861,0.196,0.85,0.8,0.00857355321289532
1.51,23.039,0.198,0.85,0.8,0.00859412300881115
1.52,23.145,0.2,0.85,0.8,0.00864117519982718
1.53,23.34,0.202,0.86,0.8,0.00865467009425878
1.54,23.493,0.204,0.86,0.8,0.00868343761971651
1.55,23.788,0.206,0.86,0.8,0.0086598284849504
1.56,23.94,0.208,0.86,0.8,0.00868838763575606
1.57,24.182,0.21,0.87,0.8,0.00868414523199074
1.58,24.285,0.212,0.87,0.8,0.00872966851966234
1.59,24.405,0.215,0.88,0.8,0.00880967014955952
1.6,24.395,0.217,0.88,0.8,0.00889526542324247
1.61,24.48,0.22,0.89,0.8,0.00898692810457516
1.62,24.586,0.223,0.9,0.8,0.00907020255429919
1.63,24.799,0.226,0.9,0.8,0.00911327069639905
1.64,25.002,0.228,0.91,0.8,0.00911927045836333
1.65,25.115,0.231,0.92,0.8,0.00919769062313359
1.66,25.335,0.233,0.92,0.8,0.00919676337083087
1.67,25.41,0.235,0.92,0.8,0.00924832743014561
1.68,25.517,0.237,0.93,0.8,0.00928792569659443
1.69,25.573,0.238,0.93,0.8,0.00930669065029523
1.7,25.659,0.239,0.93,0.8,0.00931447055614015
1.71,25.68,0.24,0.93,0.8,0.00934579439252336
1.72,25.832,0.241,0.93,0.8,0.00932951378135646
1.73,25.925,0.242,0.93,0.8,0.00933461909353905
1.74,26.095,0.243,0.93,0.8,0.00931212876029891
1.75,26.156,0.244,0.93,0.8,0.00932864352347454
1.76,26.255,0.246,0.93,0.8,0.00936964387735669
1.77,26.312,0.248,0.94,0.8,0.00942535725144421
1.78,26.422,0.25,0.94,0.8,0.00946181212625842
1.79,26.518,0.253,0.94,0.8,0.00954068934308771
1.8,26.723,0.255,0.95,0.8,0.00954234180294129
1.81,26.812,0.258,0.95,0.8,0.00962255706400119
1.82,27.103,0.26,0.95,0.8,0.00959303398147806
1.83,27.228,0.263,0.96,0.8,0.00965917437931541
1.84,27.469,0.266,0.96,0.8,0.00968364337980997
1.85,27.593,0.268,0.96,0.8,0.00971260827021346
1.86,27.859,0.271,0.96,0.8,0.00972755662443017
1.87,28.03,0.274,0.97,0.8,0.0097752408134142
1.88,28.364,0.277,0.97,0.8,0.00976590043717388
1.89,28.733,0.28,0.97,0.8,0.00974489263216511
1.9,28.875,0.283,0.97,0.8,0.0098008658008658
1.91,29.184,0.285,0.98,0.8,0.009765625
1.92,29.326,0.288,0.98,0.8,0.00982063697742617
1.93,29.5,0.29,0.99,0.8,0.00983050847457627
1.94,29.571,0.293,0.99,0.8,0.00990835615975111
1.95,29.681,0.296,1,0.8,0.00997270981435935
1.96,29.741,0.298,1,0.8,0.010019837934165
1.97,29.844,0.3,1.01,0.8,0.0100522718134298
1.98,29.904,0.301,1.01,0.8,0.010065543071161
1.99,29.943,0.301,1.01,0.8,0.0100524329559496
2,29.965,0.298,1,0.8,0.00994493575838478
2.01,29.931,0.294,0.98,0.8,0.00982259196151147
2.02,29.921,0.288,0.96,0.8,0.00962534674643227
2.03,29.941,0.278,0.93,0.8,0.00928492702314552
2.04,29.961,0.269,0.9,0.8,0.00897833850672541
2.05,30.028,0.261,0.87,0.8,0.00869188757159984
2.06,30.057,0.255,0.85,0.8,0.00848388062680906
2.07,30.075,0.251,0.83,0.8,0.00834580216126351
2.08,30.096,0.249,0.82,0.8,0.00827352472089314
2.09,30.149,0.252,0.83,0.8,0.00835848618527978
2.1,30.167,0.256,0.85,0.8,0.00848609407630855
2.11,30.298,0.263,0.87,0.8,0.00868044095319823
2.12,30.362,0.269,0.89,0.8,0.00885975890916277
2.13,30.483,0.275,0.91,0.8,0.00902142177607191
2.14,30.596,0.28,0.93,0.8,0.00915152307491175
2.15,29.883,0.286,0.95,0.8,0.00957065890305525
2.16,29.874,0.291,0.96,0.8,0.00974091182968467
2.17,29.946,0.295,0.97,0.8,0.00985106525078474
2.18,30.018,0.299,0.98,0.8,0.00996069025251516
2.19,30.202,0.303,1,0.8,0.0100324481822396
2.2,30.387,0.307,1.01,0.8,0.0101030045743245
2.21,30.536,0.31,1.01,0.8,0.0101519517946031
2.22,30.728,0.314,1.02,0.8,0.0102186930486852
